556843	VOCÊ, INVESTIDOR GLOBAL + TELEGRAM COM FRANCINE BALBINA E LUCIANA SEABRA	voce-investidor-global-telegram-com-francine-balbina-e-luciana-seabra		active		always	2020-02-14T23:38:03.000-03:00	2020-02-14T23:38:03.000-03:00	{'id': 11660875, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-14T23:38:03.000-03:00'}	{}
557377	Você, Investidor Global	voce-investidor-global		active		always	2020-02-16T18:41:43.000-03:00	2020-02-16T18:41:43.000-03:00	{'id': 11679410, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-16T18:41:43.000-03:00'}	{}
557441	Você, Investidor Global + Telegram para Qualificados com Francine Balbina e Luciana Seabra	voce-investidor-global-telegram-para-qualificados-com-francine-balbina-e-luciana-seabra		active		always	2020-02-16T20:38:17.000-03:00	2020-02-16T20:38:17.000-03:00	{'id': 11681714, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-16T20:38:17.000-03:00'}	{}
557633	Você, Investidor Global + Telegram para Qualificados com Francine Balbina e Luciana Seabra - Anual	voce-investidor-global-telegram-para-qualificados-com-francine-balbina-e-luciana-seabra-anual		active		always	2020-02-17T09:45:32.000-03:00	2020-02-17T09:45:32.000-03:00	{'id': 11689430, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-17T09:45:32.000-03:00'}	{}
559282	Jantar com os gestores João Braga e Marcos Peixoto	jantar-com-os-gestores-joao-braga-e-marcos-peixoto		active		always	2020-02-19T12:25:42.000-03:00	2020-02-19T12:25:42.000-03:00	{'id': 11721956, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-02-19T12:25:42.000-03:00'}	{}
566057	O Melhor da Renda Fixa	o-melhor-da-renda-fixa		active		always	2020-03-04T21:23:25.000-03:00	2020-03-04T21:23:25.000-03:00	{'id': 11876844, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-04T21:23:25.000-03:00'}	{}
566058	O Melhor da Renda Fixa - Anual	o-melhor-da-renda-fixa-anual		active		always	2020-03-04T21:26:05.000-03:00	2020-03-04T21:26:05.000-03:00	{'id': 11876869, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-04T21:26:05.000-03:00'}	{}
572335	Telegram para Qualificados com Luciana Seabra e analistas da Spiti + as séries exclusivas A Seleção de Fundos e Você, Investidor Global	telegram-para-qualificados-com-luciana-seabra-e-analistas-da-spiti-as-series-exclusivas-a-selecao-de-fundos-e-voce-investidor-global		active		always	2020-03-18T14:08:12.000-03:00	2020-03-18T14:08:12.000-03:00	{'id': 12042825, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-18T14:08:12.000-03:00'}	{}
572481	COMBO RELÂMPAGO: O Melhor da Bolsa + O Melhor da Renda Fixa	combo-relampago-o-melhor-da-bolsa-o-melhor-da-renda-fixa		active		always	2020-03-18T19:14:34.000-03:00	2020-03-18T19:14:34.000-03:00	{'id': 12045679, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-18T19:14:34.000-03:00'}	{}
575972	HIIT - Programa Completo	hiit-programa-completo		active		always	2020-03-29T20:56:56.000-03:00	2020-03-29T20:56:56.000-03:00	{'id': 12158533, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-29T20:56:56.000-03:00'}	{}
576046	HIIT - Programa Completo (com desconto relâmpago de 50%)	hiit-programa-completo-com-desconto-relampago-de-50		active		always	2020-03-30T07:15:28.000-03:00	2020-03-30T07:15:28.000-03:00	{'id': 12164055, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-30T07:15:28.000-03:00'}	{}
576434	HIIT - Programa Assinante: 50% de desconto só até meia-noite	hiit-programa-assinante-50-de-desconto-so-ate-meia-noite		active		always	2020-03-31T09:17:10.000-03:00	2020-03-31T09:17:10.000-03:00	{'id': 12179001, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-31T09:17:10.000-03:00'}	{}
576437	HIIT - Oferta Relâmpago: 25% de desconto só até meia-noite	hiit-oferta-relampago-25-de-desconto-so-ate-meia-noite		active		always	2020-03-31T09:20:46.000-03:00	2020-03-31T09:20:46.000-03:00	{'id': 12179026, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-31T09:20:46.000-03:00'}	{}
576567	HIIT - Programa Completo (com desconto relâmpago de 50%) Exceção	hiit-programa-completo-com-desconto-relampago-de-50-excecao		active		always	2020-03-31T12:42:36.000-03:00	2020-03-31T12:42:36.000-03:00	{'id': 12181580, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-03-31T12:42:36.000-03:00'}	{}
577383	HIIT - Programa Completo | 20% de desconto à vista	hiit-programa-completo-20-de-desconto-a-vista		active		always	2020-04-01T23:22:10.000-03:00	2020-04-01T23:22:10.000-03:00	{'id': 12198440, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-01T23:22:10.000-03:00'}	{}
577682	HIIT - Programa Completo (com desconto relâmpago de 50%) Exceção_Exclusivo	hiit-programa-completo-com-desconto-relampago-de-50-excecao_exclusivo		active		always	2020-04-02T16:41:41.000-03:00	2020-04-02T16:41:41.000-03:00	{'id': 12205000, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-02T16:41:41.000-03:00'}	{}
577756	Produto Boleto	produto-boleto		active		always	2020-04-02T18:44:19.000-03:00	2020-04-02T18:44:19.000-03:00	{'id': 12206549, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-02T18:44:19.000-03:00'}	{}
594361	Alpha Premium - Exclusivo 30%	alpha-premium-exclusivo-30		active		always	2020-04-06T17:10:01.000-03:00	2020-04-06T17:10:01.000-03:00	{'id': 12261664, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-06T17:10:01.000-03:00'}	{}
595060	"Você, Investidor Global - Exclusivo ""A Seleção de Fundos"""	voce-investidor-global-exclusivo-a-selecao-de-fundos		active		always	2020-04-08T14:05:39.000-03:00	2020-04-08T14:05:39.000-03:00	{'id': 12280081, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-08T14:05:39.000-03:00'}	{}
595062	"Você, Investidor Global - Exclusivo ""A seleção de fundos"" - Mensal"	voce-investidor-global-exclusivo-a-selecao-de-fundos-mensal		active		always	2020-04-08T14:11:06.000-03:00	2020-04-08T14:11:06.000-03:00	{'id': 12280130, 'short_format': 'R$ 0,00', 'price': '0.0', 'minimum_price': None, 'schema_type': 'flat', 'pricing_ranges': [], 'created_at': '2020-04-08T14:11:06.000-03:00'}	{}
